topic_id,lesson_id,lesson_name,topic_name
1,1,Introduction to ISL,Overview of ISL
2,1,Introduction to ISL,Why ISL is important
3,1,Introduction to ISL,Visual communication basics
4,1,Introduction to ISL,Understanding gestures
5,1,Introduction to ISL,Introduction to facial expressions
6,1,Introduction to ISL,Role of body language
7,1,Introduction to ISL,How signing works
8,1,Introduction to ISL,Basic ISL flow
9,1,Introduction to ISL,Common beginner mistakes
10,1,Introduction to ISL,First signing practice
11,2,Hand Shapes,Basic hand shapes
12,2,Hand Shapes,Open hand vs closed hand
13,2,Hand Shapes,Flat hand forms
14,2,Hand Shapes,Curved hand shapes
15,2,Hand Shapes,Fist variations
16,2,Hand Shapes,Thumb positioning
17,2,Hand Shapes,Correct hand formation
18,2,Hand Shapes,Hand relaxation techniques
19,2,Hand Shapes,Hand shape accuracy tips
20,2,Hand Shapes,Practice drills for hand shapes
21,3,Movements Basics,Directional movements
22,3,Movements Basics,Vertical vs horizontal movement
23,3,Movements Basics,Circular motions
24,3,Movements Basics,Wrist flexibility
25,3,Movements Basics,Speed control in signing
26,3,Movements Basics,Repeated movements
27,3,Movements Basics,Movement clarity
28,3,Movements Basics,Flowing motion practice
29,3,Movements Basics,Common movement errors
30,3,Movements Basics,Movement combinations
31,4,Greetings Basics,Signing Hello
32,4,Greetings Basics,Asking How are you?
33,4,Greetings Basics,Good morning/afternoon/night
34,4,Greetings Basics,Signing thank you
35,4,Greetings Basics,Signing sorry
36,4,Greetings Basics,Friendly gestures
37,4,Greetings Basics,Formal greetings
38,4,Greetings Basics,Casual greetings
39,4,Greetings Basics,Meeting someone new
40,4,Greetings Basics,Goodbye variations
41,5,Daily Greetings,Common daily greetings
42,5,Daily Greetings,Responding politely
43,5,Daily Greetings,Asking about someone's day
44,5,Daily Greetings,Expressing moods
45,5,Daily Greetings,Greeting elders
46,5,Daily Greetings,Greeting friends
47,5,Daily Greetings,Formal greeting situations
48,5,Daily Greetings,Casual greeting style
49,5,Daily Greetings,Group greetings
50,5,Daily Greetings,Daily greeting practice
51,6,Asking Questions,Question facial expression rules
52,6,Asking Questions,Yes/No questions
53,6,Asking Questions,WH-questions basics
54,6,Asking Questions,Asking who/what/where
55,6,Asking Questions,Asking why/how
56,6,Asking Questions,Clarification questions
57,6,Asking Questions,Polite questioning
58,6,Asking Questions,Common question mistakes
59,6,Asking Questions,Practice question signing
60,6,Asking Questions,Conversational questioning
61,7,Simple Conversations,Starting a conversation
62,7,Simple Conversations,Basic conversation flow
63,7,Simple Conversations,Introducing yourself
64,7,Simple Conversations,Talking about family
65,7,Simple Conversations,Simple daily talk
66,7,Simple Conversations,Asking simple information
67,7,Simple Conversations,Responding clearly
68,7,Simple Conversations,Conversation closings
69,7,Simple Conversations,Conversation practice
70,7,Simple Conversations,Common beginner dialogues
71,8,Polite Expressions,Thanking someone
72,8,Polite Expressions,Apologizing correctly
73,8,Polite Expressions,Showing respect
74,8,Polite Expressions,Formal politeness rules
75,8,Polite Expressions,Casual politeness
76,8,Polite Expressions,Polite refusals
