lesson_id,topic_name
1,Overview of ISL
1,Why ISL is important
1,Visual communication basics
1,Understanding gestures
1,Introduction to facial expressions
1,Role of body language
1,How signing works
1,Basic ISL flow
1,Common beginner mistakes
1,First signing practice
2,Basic hand shapes
2,Open hand vs closed hand
2,Flat hand forms
2,Curved hand shapes
2,Fist variations
2,Thumb positioning
2,Correct hand formation
2,Hand relaxation techniques
2,Hand shape accuracy tips
2,Practice drills for hand shapes
3,Directional movements
3,Vertical vs horizontal movement
3,Circular motions
3,Wrist flexibility
3,Speed control in signing
3,Repeated movements
3,Movement clarity
3,Flowing motion practice
3,Common movement errors
3,Movement combinations
4,Signing Hello
4,Asking How are you?
4,Good morning/afternoon/night
4,Signing thank you
4,Signing sorry
4,Friendly gestures
4,Formal greetings
4,Casual greetings
4,Meeting someone new
4,Goodbye variations
5,Common daily greetings
5,Responding politely
5,Asking about someone's day
5,Expressing moods
5,Greeting elders
5,Greeting friends
5,Formal greeting situations
5,Casual greeting style
5,Group greetings
5,Daily greeting practice
6,Question facial expression rules
6,Yes/No questions
6,WH-questions basics
6,Asking who/what/where
6,Asking why/how
6,Clarification questions
6,Polite questioning
6,Common question mistakes
6,Practice question signing
6,Conversational questioning
7,Starting a conversation
7,Basic conversation flow
7,Introducing yourself
7,Talking about family
7,Simple daily talk
7,Asking simple information
7,Responding clearly
7,Conversation closings
7,Conversation practice
7,Common beginner dialogues
8,Thanking someone
8,Apologizing correctly
8,Showing respect
8,Formal politeness rules
8,Casual politeness
8,Polite refusals
8,Polite agreements
8,Polite disagreements
8,Positive expressions
8,Politeness practice
9,Numbers 1–5
9,Numbers 6–10
9,Numbers 11–15
9,Numbers 16–20
9,Number clarity tips
9,Counting practice
9,Fast number signing
9,Common mistakes with numbers
9,Hand shapes for numbers
9,Basic math with numbers
10,Counting everyday objects
10,Using classifiers
10,Counting people
10,Counting animals
10,Counting shapes
10,Counting items in motion
10,Counting with expressions
10,Common counting errors
10,Counting speed practice
10,Counting scenarios
11,Introduction to ordinals
11,First–Fifth
11,Sixth–Tenth
11,Eleventh–Twentieth
11,Using ordinals in sentences
11,Ordinal gesture accuracy
11,Common mistakes
11,Ordinal practice drill
11,Ordinal storytelling
11,Ordinal examples
12,Adding numbers
12,Subtracting numbers
12,Multiplication basics
12,Division basics
12,Math gestures
12,Using numbers in context
12,Math problems in ISL
12,Math vocabulary
12,Math practice
12,Common math mistakes
13,Household signs
13,School-related signs
13,Outdoor vocabulary
13,Time-related signs
13,Weather vocabulary
13,Basic verbs
13,Common nouns
13,Daily objects
13,Vocabulary practice
13,Daily usage examples
14,Fruit signs
14,Vegetable signs
14,Meal-related signs
14,Drinks signs
14,Taste descriptions
14,Food preferences
14,Restaurant vocabulary
14,Cooking-related signs
14,Food categories
14,Food signing practice
15,"Happy, sad, angry"
15,"Fear, surprise"
15,Confidence expressions
15,Showing doubt
15,Excitement signs
15,Disappointment signs
15,Calm vs stressed
15,Emotional intensity
15,Emotional context usage
15,Emotion practice
16,Transportation signs
16,Directions and maps
16,Hotel-related vocabulary
16,Airport signs
16,Travel questions
16,Travel safety signs
16,Ticket & booking signs
16,Travel problems vocabulary
16,Packing essentials
16,Travel practice
17,Sentence structure rules
17,Complex conversation flow
17,Topic–comment patterns
17,Conditional sentences
17,Comparisons
17,Describing situations
17,Telling short stories
17,Advanced grammar
17,Sentence clarity tips
17,Advanced practice
18,Story flow structure
18,Role shifting
18,Character expressions
18,Setting a scene
18,Using classifiers in stories
18,Story pacing
18,Expressing emotions in stories
18,Creative narration
18,Storytelling mistakes
18,Story practice
19,Describing people
19,Describing objects
19,Describing places
19,Describing actions
19,Detail accuracy
19,Visual details
19,Size and shape descriptions
19,Texture descriptions
19,Color descriptions
19,Descriptive practice
20,Facial expression mastery
20,Body movement coordination
20,Emotional expression
20,Intensity control
20,Non-manual signals
20,Rhythm in signing
20,Expressive storytelling
20,Dynamic movements
20,Expressive clarity tips
20,Expression practice
21,History of Deaf culture
21,Community values
21,Cultural etiquette
21,Identity and pride
21,Schools for the Deaf
21,Important contributions
21,Deaf arts
21,Deaf technology
21,Community interaction
21,Cultural respect
22,Attention-getting methods
22,Proper eye contact
22,Appropriate distance
22,Respectful gestures
22,Interrupting politely
22,Clarifying politely
22,Ending conversations
22,Smooth transitions
22,Etiquette mistakes
22,Etiquette practice
23,Origins of ISL
23,Key contributors
23,Evolution of signs
23,ISL in education
23,Modern ISL changes
23,Historical milestones
23,ISL documentation
23,ISL community development
23,Timeline study
23,History practice
24,Community gatherings
24,Events and festivals
24,Deaf clubs
24,Inclusion practices
24,Supporting each other
24,Volunteering
24,Social rules
24,Community leadership
24,Community etiquette
24,Community examples
25,Test topic 1
25,Test topic 2
25,Test topic 3
25,Test topic 4
25,Test topic 5
25,Test topic 6
25,Test topic 7
25,Test topic 8
25,Test topic 9
25,Test topic 10
