lesson_id,topic_name
1,What is ISL?
1,ISL History Overview
1,Understanding Visual Language
1,Body Language Basics
1,Facial Expression Meaning
1,ISL Alphabet Introduction
1,Basic Hand Movements
1,Communication Rules
1,Sign Speed Awareness
1,Practical Introduction Exercise
2,Basic Hand Shapes
2,Open vs Closed Hand
2,Flat Hand Variations
2,Fist Hand Shapes
2,Curved Hand Movements
2,Pointing Techniques
2,Thumb Usage in Signs
2,Hand Shape Accuracy Tips
2,Hand Shape Practice Drills
2,Combining Hand Shapes
3,Movement Directions
3,Upward & Downward Signs
3,Circular Movements
3,Wrist Movement Control
3,Speed in Sign Movements
3,Repeated Movements
3,Side-to-Side Movements
3,Movement Flow Practice
3,Avoiding Movement Errors
3,Combined Movement Patterns
4,Hello (ISL)
4,How Are You?
4,Good Morning
4,Good Afternoon
4,Good Night
4,Thank You
4,Sorry
4,Nice to Meet You
4,See You Soon
4,Friendly Gestures
5,Daily Greeting Basics
5,Asking About Day
5,Responding to Greetings
5,Expressing Mood
5,Politeness Signs
5,Greeting a Group
5,Greeting Elders
5,Casual Greetings
5,Formal Greetings
5,Greeting Scenarios Practice
